timestamp,period,result,size,color
2026-04-14 10:15:26,20260414100050217,6,Big,Red
2026-04-14 10:15:26,20260414100050218,5,Big,Green+Violet
2026-04-14 10:15:26,20260414100050219,9,Big,Green
2026-04-14 10:15:26,20260414100050220,4,Small,Red
2026-04-14 10:15:24,20260414100050221,7,Big,Green
2026-04-14 10:15:24,20260414100050222,0,Small,Red+Violet
2026-04-14 10:15:24,20260414100050223,3,Small,Green
2026-04-14 10:15:24,20260414100050224,8,Big,Red
2026-04-14 10:15:24,20260414100050225,4,Small,Red
2026-04-14 10:15:24,20260414100050226,8,Big,Red
2026-04-14 10:15:24,20260414100050227,5,Big,Green+Violet
2026-04-14 10:15:24,20260414100050228,8,Big,Red
2026-04-14 10:15:24,20260414100050229,6,Big,Red
2026-04-14 10:15:24,20260414100050230,1,Small,Green
2026-04-14 10:15:23,20260414100050231,3,Small,Green
2026-04-14 10:15:23,20260414100050232,8,Big,Red
2026-04-14 10:15:23,20260414100050233,3,Small,Green
2026-04-14 10:15:23,20260414100050234,8,Big,Red
2026-04-14 10:15:23,20260414100050235,0,Small,Red+Violet
2026-04-14 10:15:23,20260414100050236,1,Small,Green
2026-04-14 10:15:23,20260414100050237,7,Big,Green
2026-04-14 10:15:23,20260414100050238,9,Big,Green
2026-04-14 10:15:23,20260414100050239,8,Big,Red
2026-04-14 10:15:23,20260414100050240,3,Small,Green
2026-04-14 10:16:25,20260414100050241,8,Big,Red
2026-04-14 10:16:25,20260414100050242,4,Small,Red
2026-04-14 10:16:23,20260414100050243,1,Small,Green
2026-04-14 10:16:23,20260414100050244,3,Small,Green
2026-04-14 10:16:23,20260414100050245,2,Small,Red
2026-04-14 10:16:23,20260414100050246,6,Big,Red
2026-04-14 10:16:23,20260414100050247,8,Big,Red
2026-04-14 10:16:23,20260414100050248,1,Small,Green
2026-04-14 10:16:23,20260414100050249,5,Big,Green+Violet
2026-04-14 10:16:23,20260414100050250,3,Small,Green
2026-04-14 10:16:23,20260414100050251,7,Big,Green
2026-04-14 10:16:23,20260414100050252,7,Big,Green
2026-04-14 10:16:22,20260414100050253,2,Small,Red
2026-04-14 10:16:22,20260414100050254,4,Small,Red
2026-04-14 10:16:22,20260414100050255,1,Small,Green
2026-04-14 10:16:22,20260414100050256,4,Small,Red
2026-04-14 10:16:22,20260414100050257,0,Small,Red+Violet
2026-04-14 10:16:22,20260414100050258,4,Small,Red
2026-04-14 10:16:22,20260414100050259,8,Big,Red
2026-04-14 10:16:22,20260414100050260,3,Small,Green
2026-04-14 10:16:22,20260414100050261,5,Big,Green+Violet
2026-04-14 10:16:22,20260414100050262,0,Small,Red+Violet
2026-04-14 10:16:20,20260414100050263,9,Big,Green
2026-04-14 10:16:20,20260414100050264,4,Small,Red
2026-04-14 10:16:20,20260414100050265,3,Small,Green
2026-04-14 10:16:20,20260414100050266,7,Big,Green
2026-04-14 10:16:20,20260414100050267,1,Small,Green
2026-04-14 10:16:20,20260414100050268,7,Big,Green
2026-04-14 10:16:20,20260414100050269,5,Big,Green+Violet
2026-04-14 10:16:20,20260414100050270,0,Small,Red+Violet
2026-04-14 10:15:17,20260414100050271,9,Big,Green
2026-04-14 10:15:17,20260414100050272,1,Small,Green
2026-04-14 10:15:17,20260414100050273,2,Small,Red
2026-04-14 10:15:17,20260414100050274,0,Small,Red+Violet
2026-04-14 10:15:17,20260414100050275,7,Big,Green
2026-04-14 10:15:17,20260414100050276,4,Small,Red
2026-04-14 10:15:17,20260414100050277,6,Big,Red
2026-04-14 10:15:17,20260414100050278,8,Big,Red
2026-04-14 10:15:17,20260414100050279,9,Big,Green
2026-04-14 10:15:17,20260414100050280,0,Small,Red+Violet
2026-04-14 10:15:15,20260414100050281,1,Small,Green
2026-04-14 10:15:15,20260414100050282,5,Big,Green+Violet
2026-04-14 10:15:15,20260414100050283,4,Small,Red
2026-04-14 10:15:15,20260414100050284,7,Big,Green
2026-04-14 10:15:15,20260414100050285,2,Small,Red
2026-04-14 10:15:15,20260414100050286,3,Small,Green
2026-04-14 10:15:15,20260414100050287,3,Small,Green
2026-04-14 10:15:15,20260414100050288,5,Big,Green+Violet
2026-04-14 10:15:15,20260414100050289,5,Big,Green+Violet
2026-04-14 10:15:15,20260414100050290,8,Big,Red
2026-04-14 10:16:17,20260414100050291,3,Small,Green
2026-04-14 10:16:17,20260414100050292,1,Small,Green
2026-04-14 10:16:15,20260414100050293,0,Small,Red+Violet
2026-04-14 10:16:15,20260414100050294,7,Big,Green
2026-04-14 10:16:15,20260414100050295,1,Small,Green
2026-04-14 10:16:15,20260414100050296,2,Small,Red
2026-04-14 10:16:15,20260414100050297,8,Big,Red
2026-04-14 10:16:15,20260414100050298,1,Small,Green
2026-04-14 10:16:15,20260414100050299,1,Small,Green
2026-04-14 10:16:15,20260414100050300,5,Big,Green+Violet
2026-04-14 10:16:15,20260414100050301,0,Small,Red+Violet
2026-04-14 10:16:15,20260414100050302,4,Small,Red
2026-04-14 10:16:14,20260414100050303,8,Big,Red
